id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
32,_,20,24,那么白, , ,功效,负面
32,_, , ,还不错,39,42,整体,正面
33,快递员,0,3,很好,3,5,物流,正面
33,保湿效果, , ,还好吧,40,43,功效,正面
33,_, , ,自然,38,40,功效,正面
33,_, , ,挺好用,34,37,整体,正面
34,快递员,0,3,很好,3,5,物流,正面
34,_, , ,微微一点白,40,45,功效,正面
34,_, , ,服帖,38,40,功效,正面
34,_, , ,挺好用,34,37,整体,正面
35,发货速度,0,4,快,4,5,物流,正面
35,_, , ,真实,42,44,功效,正面
35,卸妆, , ,比较干净,38,42,功效,正面
35,味道, , ,还可以,34,37,整体,正面
36,快递小哥,0,4,点赞,4,6,物流,正面
36,体亮, , ,自然,40,42,功效,正面
36,补水, , ,很强,38,40,功效,正面
36,_, , ,良好,35,37,整体,正面
37,_, , ,赞赞,0,2,整体,中性
37,_, , ,还可以,3,6,整体,正面
37,价格,7,9,不算贵,9,12,价格,正面
38,_, , ,一般般,0,3,整体,中性
38,_, , ,还可以,4,7,整体,正面
38,价格,8,10,很便宜,10,13,价格,正面
39,_, , ,一般般,0,3,整体,中性
39,_, , ,非常的好用,4,9,整体,正面
39,赠品,10,12,很好用,12,15,价格,正面
40,小礼品,16,19,_, , ,价格,正面
40,_, , ,不错,9,11,整体,正面
40,物流,26,28,真不错, , ,物流,正面
41,优惠券,18,21,_, , ,价格,正面
41,_, , ,超级好用,9,13,整体,正面
41,快递小哥,28,32,_, , ,物流,正面
42,活动,17,19,优惠, , ,价格,正面
42,_, , ,都说好,9,12,整体,正面
42,物流,26,28,效率超级高, , ,物流,正面
43,_, , ,亮白,17,19,功效,正面
44,_, , ,满分,4,6,整体,正面
45,_, , ,可以哦,0,3,整体,正面
45,物流,5,7,很快,7,9,物流,正面
46,_, , ,值得推荐,0,4,整体,正面
46,物流,6,8,非常的快,8,12,物流,正面
47,_, , ,非常的不错,28,33,整体,正面
48,_, , ,比较方便,9,13,使用体验,正面
48,活动, , ,_,2,5,整体,正面
49,_, , ,很干净,8,11,使用体验,正面
49,_, , ,不错,2,4,整体,正面
50,快递,0,2,非常给力,2,6,物流,正面
50,_, , ,好,9,10,整体,正面
51,配送,0,2,很快,2,4,物流,正面
51,_, , ,支持,7,9,整体,正面
52,_, , ,很满意,0,3,整体,正面
52,_, , ,大爱,11,13,整体,正面
52,味道,4,6,很好闻,7,10,气味,正面
53,_, , ,没让人失望,0,5,整体,正面
53,_, , ,大爱,14,16,整体,正面
53,味道,6,8,非常喜欢,9,13,气味,正面
54,_, , ,可以的,0,3,整体,正面
54,_, , ,真的好用,11,15,整体,正面
54,味道,4,6,不浓重,7,10,气味,正面
55,优惠券,19,22,_, , ,价格,正面
55,_, , ,超赞,23,25,整体,正面
56,_,19,22,挺便宜, , ,价格,正面
56,_, , ,巨好用,23,26,整体,正面
57,物流,4,6,特别快,6,9,物流,正面
57,卸妆,9,11,很好,11,13,功效,正面
58,物流,4,6,很快的,6,9,物流,正面
58,渗透性,9,12,很强,12,14,功效,正面
59,_, , ,好开心,0,3,整体,正面
59,_, , ,物美价廉,19,23,价格,正面
60,_, , ,应该不错的,0,5,整体,正面
60,_, , ,非常实惠,21,25,价格,正面
61,_, , ,还好吧,2,5,整体,正面
61,味道,27,29,清香,29,31,气味,正面
61,_, , ,挺好用的,41,45,整体,正面
62,_, , ,很好的,2,5,整体,正面
62,味道,27,29,很好,29,31,气味,正面
62,_, , ,挺好用的,41,45,整体,正面
63,_, , ,强力推荐,2,6,整体,正面
63,问道,28,30,可以,30,32,气味,正面
63,_, , ,还喜欢,42,45,整体,正面
64,乳液,25,27,_, , ,成分,中性
64,_, , ,水水嫩嫩的,9,14,使用体验,正面
65,乳液,23,25,_, , ,成分,中性
65,_, , ,水灵灵,9,12,使用体验,正面
66,物流,0,2,好快,2,4,物流,正面
66,速度, , ,_,21,23,整体,正面
67,快递,0,2,点赞,2,4,物流,正面
67,_, , ,一直信赖,21,25,整体,正面
68,发货,0,2,很快,2,4,物流,正面
68,活动,5,7,特别合算,12,16,价格,正面
68,贴合,20,22,很好,22,24,使用体验,正面
68,精华液,25,28,挺多多的,29,33,成分,正面
69,快递,0,2,给力,2,4,物流,正面
69,_,5,7,好便宜,12,15,价格,正面
69,贴合,19,21,很好,21,23,使用体验,正面
69,精华,24,26,蛮多,27,29,成分,正面
70,发货,0,2,很快,2,4,物流,正面
70,价位,5,7,非常合适,12,16,价格,正面
70,_,20,22,挺自然,22,25,使用体验,正面
70,精华液,26,29,多,30,31,成分,正面
71,物流,0,2,真是快,2,5,物流,正面
71,价格,6,8,真的优惠,13,17,价格,正面
71,吸收,21,23,挺快,23,25,使用体验,正面
71,精华液,26,29,很好,30,32,成分,正面
72,_, , ,超级喜欢,0,4,整体,正面
73,_, , ,挺喜欢用的,2,7,整体,正面
74,_, , ,很不错,6,9,整体,正面
75,_, , ,很自然,10,13,功效,正面
75,_, , ,不油腻,15,18,使用体验,正面
75,_, , ,很轻薄透亮,19,24,使用体验,正面
76,_, , ,很自然,10,13,功效,正面
76,_, , ,挺湿润,15,18,使用体验,正面
76,泡沫, , ,不会太多,19,23,使用体验,正面
77,_, , ,真实,10,12,功效,正面
77,_, , ,很薄,14,16,使用体验,正面
77,_, , ,粘稠些,17,20,使用体验,正面
78,_, , ,好开心,0,3,整体,正面
78,_, , ,挺好的,4,7,整体,正面
78,_, , ,挺满意的,8,12,整体,正面
78,服务,13,15,非常好,16,19,服务,正面
79,_, , ,挺喜欢用的,0,5,整体,正面
79,_, , ,看起来不错,6,11,整体,正面
79,_, , ,挺满意的,12,16,整体,正面
79,服务,17,19,非常好,20,23,服务,正面
80,_, , ,好用,0,2,整体,正面
80,_, , ,很合适,3,6,整体,正面
80,_, , ,太好了,7,10,整体,正面
80,服务,11,13,非常好,14,17,服务,正面
81,速度, , ,_,0,2,整体,正面
81,_, , ,挺漂亮的,3,7,整体,正面
81,_, , ,还挺好用的,8,13,整体,正面
81,卖家,14,16,很好,17,19,服务,正面
82,_, , ,清透,0,2,使用体验,正面
82,补水效果,3,7,不错,8,10,功效,正面
82,价格,11,13,实惠,13,15,价格,正面
83,_, , ,用着舒服,0,4,使用体验,正面
83,清洁皮肤效果,5,11,很好,12,14,功效,正面
83,价格,15,17,对的起,17,20,价格,正面
84,_, , ,水份多多,0,4,使用体验,正面
84,遮瑕效果,5,9,挺好,10,12,功效,正面
84,价格,13,15,还可以,15,18,价格,正面
85,_, , ,nice,0,4,整体,正面
85,性价比,5,8,很高,8,10,价格,正面
86,_, , ,太合适,0,3,整体,正面
86,价格,4,6,不算贵,6,9,价格,正面
87,_, , ,太合适,14,17,整体,正面
87,_, , ,不紧崩,10,13,使用体验,正面
87,_, , ,很温和,0,3,使用体验,正面
88,速度, , ,_,14,16,整体,正面
88,_, , ,不紧崩,8,11,使用体验,正面
88,泡沫, , ,多,0,1,使用体验,正面
89,_, , ,很给力,13,16,整体,正面
89,_, , ,不厚重,9,12,使用体验,正面
89,_, , ,通透,0,2,使用体验,正面
90,_, , ,不错,0,2,整体,正面
90,_, , ,应该还可以,3,8,整体,正面
90,_, , ,物超所值,9,13,整体,正面
91,_, , ,挺好用,0,3,整体,正面
91,_, , ,很好,4,6,整体,正面
91,_, , ,很满足,7,10,整体,正面
92,_, , ,一如既往的喜欢,0,7,整体,正面
92,_, , ,太合适了,8,12,整体,正面
92,_, , ,还不错啦,13,17,整体,正面
93,物流,14,16,很快,16,18,物流,正面
93,_, , ,很漂亮,21,24,整体,正面
94,送货速度,14,18,超快,18,20,物流,正面
94,_, , ,特别好,23,26,整体,正面
95,_,9,11,非常速度,11,15,物流,正面
95,_, , ,好评,0,2,整体,正面
96,送货,8,10,挺快,10,12,物流,正面
96,品质, , ,好,0,1,整体,正面
97,量, , ,有点少,0,3,尺寸,负面
97,_, , ,不错,12,14,整体,正面
98,_, , ,小小,0,2,尺寸,负面
98,_, , ,给力,11,13,整体,正面
99,物流,4,6,出奇的快,6,10,物流,正面
99,_, , ,不错,0,2,整体,正面
100,快递,3,5,神速,5,7,物流,正面
100,_, , ,好,0,1,整体,正面
101,_, , ,很好,0,2,整体,正面
101,_, , ,比较合适,17,21,整体,正面
101,_, , ,很喜欢,36,39,整体,正面
102,_, , ,很好,0,2,整体,正面
102,_, , ,应该可以,17,21,整体,正面
102,_, , ,好开心,36,39,整体,正面
103,_, , ,很棒了,0,3,整体,正面
103,_, , ,棒极了,18,21,整体,正面
103,_, , ,还OK,36,39,整体,正面
104,_, , ,不太好,13,16,整体,负面
104,_, , ,太坑了,19,22,整体,负面
105,_, , ,差,13,14,整体,负面
105,包装盒, , ,太简陋了,17,21,整体,负面
106,气味,10,12,很好闻,12,15,气味,正面
107,_, , ,还不错,2,5,整体,正面
107,_, , ,好的没话说,17,22,整体,正面
108,_, , ,好多了,2,5,整体,正面
108,_, , ,好开心,17,20,整体,正面
109,_, , ,应该不错的,2,7,整体,正面
109,活动,28,30,_, , ,价格,正面
109,_, , ,物美价廉,31,35,价格,正面
110,_, , ,大爱呀,2,5,整体,正面
110,活动,26,28,_, , ,价格,正面
110,价钱, , ,不贵,29,31,价格,正面
111,_, , ,很实用,2,5,整体,正面
111,赠品,26,28,很好, , ,价格,正面
111,赠品, , ,非常不错,29,33,价格,正面
112,快递,0,2,挺快的,2,5,物流,正面
112,吸收, , ,挺好的,14,17,使用体验,正面
113,快递大哥,0,4,人很好,4,7,物流,正面
113,_, , ,很补水,16,19,使用体验,正面
114,价格,12,14,不算高,14,17,价格,正面
114,_, , ,不错,8,10,整体,正面
115,活动,13,15,优惠,15,17,价格,正面
115,_, , ,好多了,8,11,整体,正面
116,精华,2,4,多,4,5,成分,正面
116,保湿效果,6,10,棒棒哒,10,13,功效,正面
117,美容液,2,5,比较丰富,5,9,成分,正面
117,提亮肤色效果,10,16,好,16,17,功效,正面
118,_, , ,超极好,0,3,整体,正面
119,降价,3,5,_, , ,价格,负面
119,_, , ,非常失望,7,11,整体,负面
120,_,3,5,比较费, , ,价格,负面
120,_, , ,不大好,7,10,整体,负面
121,_, , ,值得推荐,13,17,整体,正面
122,透气性,8,11,很一般,11,14,使用体验,负面
122,清洗,15,17,很干净,17,20,功效,正面
122,气味,21,23,优雅,23,25,气味,正面
122,发货,31,33,及时,33,35,物流,正面
123,泡沫,8,10,少,10,11,使用体验,负面
123,控油效果,12,16,很好,16,18,功效,正面
123,气味,19,21,优雅,21,23,气味,正面
123,发货,29,31,及时,31,33,物流,正面
124,泡沫,8,10,少,10,11,使用体验,负面
124,补水,12,14,挺好,14,16,功效,正面
124,气味,17,19,优雅,19,21,气味,正面
124,快递,27,29,真的快,29,32,物流,正面
125,泡沫,8,10,少,10,11,使用体验,负面
125,补水效果,12,16,还不错,16,19,功效,正面
125,问道,20,22,可以,22,24,气味,正面
125,物流,30,32,神速,32,34,物流,正面
126,_,37,39,好快就到,39,43,物流,正面
127,天猫直送,18,22,很给力,23,26,物流,正面
127,_, , ,挺好的,2,5,整体,正面
127,_, , ,五星好评,28,32,整体,正面
128,收货,19,21,完美,22,24,物流,正面
128,_, , ,应该可以,2,6,整体,正面
128,_, , ,五星好评,26,30,整体,正面
129,_,18,22,很快,22,24,物流,正面
129,_, , ,点赞,2,4,整体,正面
129,_, , ,很实在,26,29,整体,正面
130,瓶口,2,4,方便,4,6,包装,正面
131,_, , ,总体满意,0,4,整体,正面
132,_, , ,点赞,0,2,整体,正面
132,_, , ,不错,14,16,整体,正面
133,_, , ,太棒了,0,3,整体,正面
133,_, , ,美美哒,15,18,整体,正面
134,_, , ,超喜欢,0,3,整体,正面
134,_, , ,好看,6,8,整体,正面
135,_, , ,棒棒的,0,3,整体,正面
135,_, , ,超喜欢的,6,10,整体,正面
136,_, , ,是真品,0,3,真伪,正面
137,_, , ,挺满意,0,3,整体,正面
138,卸妆效果,5,9,非常好,9,12,功效,正面
138,_, , ,喜欢喜欢,0,4,整体,正面
139,卸妆效果,5,9,很一般,9,12,功效,正面
139,_, , ,真的不错,0,4,整体,正面
140,_, , ,666,0,3,整体,正面
141,_, , ,都说好,46,49,整体,正面
141,_, , ,挺好用,40,43,整体,正面
142,_, , ,挺喜欢用的,46,51,整体,正面
142,_, , ,滑滑的,40,43,整体,正面
143,_, , ,好一点,0,3,整体,正面
144,水份,6,8,充足,8,10,成分,正面
144,_, , ,很好用,2,5,整体,正面
145,营养液,6,9,很充足,9,12,成分,正面
145,活动, , ,_,2,5,整体,正面
146,_, , ,真的,0,2,真伪,正面
147,价,0,1,廉, , ,价格,正面
147,瓶子,12,14,很漂亮,14,17,包装,正面
147,瓶口,20,22,没有密封口,22,27,包装,负面
148,增品,0,2,没收到, , ,价格,正面
148,盒子,13,15,很漂亮,15,18,包装,正面
148,瓶口,21,23,没有密封口,23,28,包装,负面
149,活动,0,2,_, , ,价格,正面
149,瓶子,13,15,很漂亮,15,18,包装,正面
149,塑封袋,21,24,_,23,28,包装,负面
150,_, , ,好的很,7,10,整体,正面
150,_, , ,比较补水,2,6,功效,正面
151,_, , ,看起来不错,6,11,整体,正面
151,清洁度, , ,还不错,2,5,功效,正面
152,活动, , ,炒鸡划算,5,9,价格,正面
153,_, , ,超级好用,0,4,整体,正面
153,遮瑕效果,22,26,特别好,27,30,功效,正面
153,_, , ,不会掉粉,31,35,使用体验,正面
154,_, , ,非常好用,0,4,整体,正面
154,_,22,26,不是特别白,27,32,功效,正面
154,_, , ,很柔滑,33,36,使用体验,正面
155,_, , ,可以哦,0,3,整体,正面
155,提亮效果,21,25,不错,26,28,功效,正面
155,_, , ,白白嫩嫩的,29,34,使用体验,正面
156,_, , ,太裸妆了,3,7,使用体验,负面
156,_, , ,不太适合,11,15,整体,负面
157,_, , ,长痘,3,5,使用体验,负面
157,_, , ,有点失望,9,13,整体,负面
158,发货,7,9,很快,15,17,物流,正面
158,_,10,14,快速,15,17,物流,正面
158,快递小哥,18,22,很好,23,25,物流,正面
159,发货,7,9,很快,13,15,物流,正面
159,快递,10,12,好,15,17,物流,正面
159,物流,16,18,杠杠的,19,22,物流,正面
160,快递员,7,10,很细心,15,18,物流,正面
160,快递员,11,14,很细心,15,17,物流,正面
160,快递小个,19,23,很是给力,24,28,物流,正面
161,好评, , ,_,11,14,整体,正面
162,快递,0,2,特别快,2,5,物流,正面
162,_, , ,不错,9,11,整体,正面
163,_,0,2,好快,2,4,物流,正面
163,_, , ,赞,8,9,整体,正面
164,_, , ,很好,0,2,整体,正面
164,快递, , ,蛮快的,3,6,物流,正面
165,_, , ,适合,0,2,整体,正面
165,物流速度, , ,太快了,3,6,物流,正面
166,_, , ,不干涩,10,13,使用体验,正面
166,_, , ,好推开,14,17,使用体验,正面
166,_, , ,很自然,6,9,功效,正面
166,_, , ,很好用,2,5,整体,正面
167,_, , ,非常舒服,10,14,使用体验,正面
167,泡沫, , ,很丰富,15,18,使用体验,正面
167,_, , ,很自然,6,9,功效,正面
167,_, , ,很好用,2,5,整体,正面
168,_, , ,不长闭合,10,14,使用体验,正面
168,上妆, , ,贴合皮肤,15,19,使用体验,正面
168,_, , ,很自然,6,9,功效,正面
168,_, , ,就是好,2,5,整体,正面
169,_, , ,比较有气色,10,15,使用体验,正面
169,_, , ,哑光质感,16,20,使用体验,正面
169,_, , ,有光泽,6,9,功效,正面
169,_, , ,很实用,2,5,整体,正面
170,_, , ,挺好的,28,31,整体,正面
170,_, , ,好极了,0,3,整体,正面
170,_, , ,喜欢,9,11,整体,正面
170,_, , ,没毛病,20,23,整体,正面
171,_, , ,好的,29,31,整体,正面
171,_, , ,好极了,0,3,整体,正面
171,_, , ,还可以,9,12,整体,正面
171,_, , ,没毛病,21,24,整体,正面
172,_, , ,好评,29,31,整体,正面
172,_, , ,好开心,0,3,整体,正面
172,_, , ,很好的,9,12,整体,正面
172,_, , ,妥妥的,21,24,整体,正面
173,_, , ,完美,30,32,整体,正面
173,_, , ,用着很好,0,4,整体,正面
173,_, , ,是正品,10,13,整体,正面
173,_, , ,不错哦,22,25,整体,正面
174,_, , ,非常喜欢,3,7,整体,正面
174,_, , ,满意,0,2,整体,正面
175,_, , ,比较满意,5,9,整体,正面
175,_, , ,很高大上,0,4,整体,正面
176,_, , ,大爱呀,6,9,整体,正面
176,_, , ,好用,0,2,整体,正面
176,_, , ,便宜,3,5,价格,正面
177,_, , ,比较喜欢,6,10,整体,正面
177,_, , ,好用,0,2,整体,正面
177,_, , ,便宜,3,5,价格,正面
178,好评, , ,_,6,10,整体,正面
178,_, , ,挺流的,0,3,整体,正面
178,优惠活动, , ,_,3,5,价格,正面
179,_, , ,真心不错,3,7,整体,正面
179,物流,19,21,超快的,23,26,物流,正面
179,_, , ,滑滑的,13,16,使用体验,正面
179,_, , ,清凉,16,18,使用体验,正面
180,_, , ,真心不错,3,7,整体,正面
180,物流,23,25,超快的,27,30,物流,正面
180,_, , ,滑滑的,13,16,使用体验,正面
180,_, , ,没有出现过敏,16,22,使用体验,正面
181,_, , ,赞一个,3,6,整体,正面
181,物流,20,22,很快的,24,27,物流,正面
181,_, , ,好舒服,12,15,使用体验,正面
181,_, , ,非常舒服,15,19,使用体验,正面
182,_, , ,很棒,3,5,整体,正面
182,物流,19,21,给了,23,25,物流,正面
182,_, , ,挺通透的,11,15,使用体验,正面
182,_, , ,更滋润,15,18,使用体验,正面
183,_, , ,好用,7,9,整体,正面
183,活动价, , ,_,9,11,价格,正面
184,品质, , ,好,7,8,整体,正面
184,价格, , ,合适,8,10,价格,正面
185,_,18,21,平价,21,23,价格,正面
185,_, , ,不错的,9,12,整体,正面
186,活动,19,21,挺优惠的,21,25,价格,正面
186,_, , ,挺舒服的,9,13,整体,正面
187,_, , ,没有过敏,3,7,使用体验,正面
187,_, , ,比较满意,8,12,整体,正面
188,_, , ,超水润,3,6,使用体验,正面
188,_, , ,棒棒的,7,10,整体,正面
189,_,10,13,快速,13,15,物流,正面
189,_, , ,挺好的,6,9,整体,正面
190,物流速度,12,16,特别快,16,19,物流,正面
190,_, , ,没让人失望,6,11,整体,正面
191,_, , ,好很多,0,3,整体,正面
192,_, , ,特别好用,7,11,整体,正面
193,_, , ,五星好评,0,4,整体,正面
193,快递,5,7,好评,11,13,包装,正面
193,商家,8,10,不错,11,13,服务,正面
194,_, , ,最喜欢的,0,4,整体,正面
194,快递,5,7,好评,11,13,包装,正面
194,卖家,8,10,很好,11,13,服务,正面
195,_, , ,还好吧,0,3,整体,正面
195,包装,4,6,仔细,10,12,包装,正面
195,客服,7,9,耐心,11,13,服务,正面
196,发货,0,2,速度快,2,5,物流,正面
196,_, , ,还OK,8,11,整体,正面
197,_,0,2,好快就到,2,6,物流,正面
197,_, , ,挺漂亮的,9,13,整体,正面
198,卖家,3,5,不错,5,7,服务,正面
198,_, , ,好用,0,2,整体,正面
199,店家服务,4,8,很好,8,10,服务,正面
199,_, , ,好好用,0,3,整体,正面
200,_, , ,没毛病,3,6,整体,正面
200,补水效果,9,13,很好,13,15,功效,正面
200,快递小哥态度,16,22,很好,14,16,物流,正面
201,_, , ,棒棒哒,3,6,整体,正面
201,_,10,14,挺保湿的,13,17,功效,正面
201,快递小哥态度,18,24,很好,14,16,物流,正面
202,_, , ,放心,3,5,整体,正面
202,补水效果,8,12,还不错,12,15,功效,正面
202,送货速度,16,20,超快,14,16,物流,正面
203,快递公司,8,12,给力,14,16,物流,正面
203,物流,33,35,非常的快,35,39,物流,正面
204,物流服务,8,12,好,14,15,物流,正面
204,快递,32,34,迅速,34,36,物流,正面
205,_,12,16,比较自然,16,20,功效,正面
206,送货,0,2,快,2,3,物流,正面
206,快递,0,2,超级快,4,7,物流,正面
206,质量,8,10,杠杠滴,12,15,其他,正面
206,_, , ,很不错,30,33,整体,正面
206,_, , ,棒棒哒,34,37,整体,正面
207,快递,0,2,点个赞,2,5,物流,正面
207,快递员态度,0,2,很好,6,8,物流,正面
207,质量,9,11,棒棒哒,13,16,其他,正面
207,_, , ,很不错,31,34,整体,正面
207,_, , ,棒棒哒,35,38,整体,正面
208,服务态度,0,4,很好,4,6,物流,正面
208,物流配送,0,2,非常快,7,10,物流,正面
208,_,10,12,量大耐用,15,19,其他,正面
208,_, , ,很不错,34,37,整体,正面
208,_, , ,棒棒哒,38,41,整体,正面
209,快递,0,2,好快,2,4,物流,正面
209,物流,0,2,没得说,5,8,物流,正面
209,质量,9,11,杠杠滴,13,16,其他,正面
209,_, , ,好很多,31,34,整体,正面
209,_, , ,不油腻,35,38,整体,正面
210,物流服务,0,4,好,4,5,物流,正面
210,包装,0,2,严实,6,8,物流,正面
210,_,10,12,很方便,13,16,其他,正面
210,_, , ,太棒了,31,34,整体,正面
210,_, , ,很漂亮,35,38,整体,正面
211,快递速度,2,6,快,6,7,物流,正面
211,_,8,11,这么便宜,11,15,价格,正面
212,物流,2,4,有点慢,4,7,物流,正面
212,优惠券,8,11,_,11,13,价格,正面
213,价格,8,10,没有原来美好,10,16,价格,中性
213,_, , ,很划算,0,3,价格,正面
213,_, , ,一直棒棒,38,42,整体,正面
213,_, , ,实惠,44,46,价格,正面
214,价格,8,10,没有原来美好,10,16,价格,中性
214,_, , ,很划算,0,3,价格,正面
214,_, , ,一直棒棒,38,42,整体,正面
214,价格, , ,挺实惠的,44,48,价格,正面
215,价格,8,10,没有原来美好,10,16,价格,中性
215,_, , ,很划算,0,3,价格,正面
215,_, , ,特别满意,38,42,整体,正面
215,_, , ,很实惠,44,47,价格,正面
216,价格,8,10,没有原来美好,10,16,价格,中性
216,价格, , ,不算高,0,3,价格,正面
216,_, , ,比较信得过,38,43,整体,正面
216,活动, , ,挺优惠的,45,49,价格,正面
217,_, , ,不错哦,0,3,整体,正面
217,_, , ,很滋润,15,18,使用体验,正面
217,_, , ,很水润,21,24,使用体验,正面
217,价格,25,27,很实惠,27,30,价格,正面
217,到货速度,36,40,很快,40,42,物流,正面
217,_, , ,很满意,43,46,整体,正面
218,_, , ,很喜欢用,0,4,整体,正面
218,_, , ,很滋润,16,19,使用体验,正面
218,_, , ,很水润,22,25,使用体验,正面
218,价格,26,28,很实惠,28,31,价格,正面
218,到货速度,37,41,很快,41,43,物流,正面
218,_, , ,真的好,44,47,整体,正面
219,_, , ,挺流的,0,3,整体,正面
219,_, , ,很滋润,15,18,使用体验,正面
219,_, , ,好吸收,21,24,使用体验,正面
219,价格,25,27,很实惠,27,30,价格,正面
219,_,36,40,真快,40,42,物流,正面
219,_, , ,很满意,43,46,整体,正面
220,_, , ,应该挺好的,0,5,整体,正面
220,_, , ,很滋润,17,20,使用体验,正面
220,_, , ,很滑,23,25,使用体验,正面
220,赠品,26,28,很多,28,30,价格,正面
220,到货速度,36,40,很快,40,42,物流,正面
220,_, , ,超出预期,43,47,整体,正面
221,_, , ,满分,0,2,整体,正面
221,_, , ,不敏感,14,17,使用体验,正面
221,泡沫, , ,丰富,20,22,使用体验,正面
221,价格,23,25,还算实惠,25,29,价格,正面
221,快递小哥,35,39,给力,39,41,物流,正面
221,_, , ,很满意,42,45,整体,正面
222,_, , ,应该不错,0,4,整体,正面
222,_, , ,不黏不腻,16,20,使用体验,正面
222,_, , ,很干净,23,26,使用体验,正面
222,活动,27,29,挺优惠的,29,33,价格,正面
222,小哥服务态度,39,45,好,45,46,物流,正面
222,_, , ,可以哦,47,50,整体,正面
223,_, , ,不怎么白,3,7,功效,负面
224,_, , ,好的很,14,17,整体,正面
224,_, , ,便宜,42,44,价格,正面
225,_, , ,好的没话说,14,19,整体,正面
225,价格, , ,对的起,44,47,价格,正面
226,_, , ,都说好,7,10,整体,正面
227,性价比,0,3,真高,3,5,价格,正面
227,清洁,6,8,很彻底,8,11,功效,正面
227,泡沫,12,14,丰富,14,16,使用体验,正面
227,_, , ,好用,20,22,整体,正面
228,活动,0,2,很划算,2,5,价格,正面
228,_,6,8,肤色很亮,8,12,功效,正面
228,泡沫,13,15,丰富,15,17,使用体验,正面
228,_, , ,最喜欢的,21,25,整体,正面
229,价格,0,2,不高,2,4,价格,正面
229,_,6,8,白了一个度,7,12,功效,正面
229,泡沫,13,15,丰富,15,17,使用体验,正面
229,_, , ,非常满意,21,25,整体,正面
230,性价比,0,3,不错,3,5,价格,正面
